exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,has_elevator,has_balcony,latitude,longitude,date,year,month,season,months_since_sale,location_avg_price_per_sqm,rooms_per_sqm,is_central,main_neighborhood,sub_neighborhood,predicted_ending_price
Wittstocksgatan 28,6950000.0,58.0,2.0,3.0,1175.0,119828.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,139209.15807716866,0.034482758620689655,0,östermalm,central,7313455.5
Lützengatan 3,23250000.0,195.0,6.0,0.0,6201.0,119231.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,,0.03076923076923077,0,invid karlaplan,central,9610876.0
Arkitektvägen 45,3195000.0,50.0,2.0,1.0,3077.0,63900.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,57723.13296903461,0.04,0,abrahamsberg,central,2839731.2
Smedsbacksgatan 7,8495000.0,77.0,3.0,8.0,4833.0,110325.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,110136.75845499909,0.03896103896103896,0,gärdet,central,8500537.0
Starrängsringen 23,5995000.0,58.0,2.0,1.0,3518.0,103362.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,108384.60610447581,0.034482758620689655,0,nedre gärdet,central,6367839.5
Brännkyrkagatan 92A,2395000.0,25.0,1.0,2.0,1983.0,95800.0,False,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,97356.8281938326,0.04,0,södermalm,maria högalid,2743824.2
Ringvägen 41A,7450000.0,86.0,4.0,1.0,4119.0,86628.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,100883.04295325169,0.046511627906976744,0,södermalm,central,8460209.0
Skebokvarnsvägen 366,3300000.0,92.5,4.0,3.0,8185.0,35676.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,47227.54217966256,0.043243243243243246,0,högdalen,central,4056492.8
Perstorpsvägen,2495000.0,45.0,2.0,1.0,3995.0,55444.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,46701.76192522561,0.044444444444444446,0,farsta,central,2194055.8
Floragatan 12,15750000.0,88.0,3.0,5.0,5358.0,178977.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,139209.15807716866,0.03409090909090909,0,östermalm,central,12046417.0
"Skeppargatan 100, 1 tr",4450000.0,43.5,2.0,1.0,2809.0,102299.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,117647.05882352941,0.04597701149425287,0,östermalm nedre gärdet,central,5158963.0
Björketorpsvägen 9,4195000.0,96.0,4.0,1.0,5939.0,43698.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,80278.42227378191,0.041666666666666664,0,norra ängby,central,7336641.0
Perstorpsvägen,2495000.0,48.0,2.0,1.0,4136.0,51979.0,True,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,46701.76192522561,0.041666666666666664,0,farsta,central,2308756.2
Kapellgränd 6,9000000.0,67.0,2.0,3.0,4348.0,134328.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,100883.04295325169,0.029850746268656716,0,södermalm,central,6463252.0
Bergsrådsvägen 12,2650000.0,53.0,2.0,3.0,3734.0,50000.0,False,False,,,2024-09-16 20:19:27.487654,2024,9,4,0,58966.89497716895,0.03773584905660377,0,bagarmossen,central,2889615.0
Banérgatan 23,13950000.0,112.0,4.0,7.0,3209.0,124554.0,True,True,,,2024-09-16 20:19:27.487654,2024,9,4,0,139209.15807716866,0.03571428571428571,0,östermalm,central,15486366.0
